Date,Average pressure,Sea level pressure,Rainfall,Max rainfall (1 hour),Max rainfall (10 mins),Ave temp,Max temp,Min temp,Ave humidity,Min humidity,Ave wind speed,Hours of sunlight,Snowfall,Max snow cover,Gust x,Gust y,Max x,Max y
1981/2/13,1008.4,1012.8,,,,7.9,12.1,2.6,52,42,1.7,4.1,,,4.896561522,-2.028222192,3.510742224,-1.454197043
1981/2/14,1008.8,1013.2,0,0,0,10.3,14.3,8.1,59,45,3.1,4,,,10.0702869,-4.171249413,5.912829008,-2.449173967
1981/2/15,1016.6,1021,0,0,0,8.8,11.2,7.4,69,63,2,,,,4.10E-16,6.7,3.787906083,-1.569002073
1981/2/16,1011,1015.3,0,0,0,11.6,17.2,6.3,59,41,2.8,8,,,3.712029294,8.961631465,2.143027221,5.173725382
1981/2/17,1010.4,1014.8,26.5,6,2,3.4,10.7,1,78,47,5.2,0.7,2,2,13.30386527,-5.510641426,7.483424213,-3.099735802
1981/2/18,1019.1,1023.6,,,,4.2,7.6,0.2,60,45,2.6,8.1,,1,10.8,0,6.4,0
1981/2/19,1007.9,1012.3,0,0,0,6.8,13.3,3,53,31,4.5,2.9,,,15.70595205,-6.50561835,8.869243512,-3.673760951
1981/2/20,1010.9,1015.3,0,0,0,4.9,7.3,2.5,46,32,3.2,0.3,,,16.16789182,-6.696960066,7.852976026,-3.252809175
1981/2/21,1007.6,1012,0,0,0,5.6,10.6,2.1,46,27,5.1,7.9,,,11.10157646,-11.10157646,7.94536398,-3.291077518
1981/2/22,1016.8,1021.3,,,,5.6,7.9,2.2,40,28,3.1,6.5,,,10.25506281,-4.247786099,6.005216961,-2.48744231
1981/2/23,1012.2,1016.6,7,2,0.5,3.6,7.1,2.1,73,57,4.1,,0,,11.54849416,-4.783542905,7.575812167,-3.138004145
1981/2/24,1002.9,1007.3,1.5,1,0.5,3.6,4.5,2.4,77,66,3.1,,0,,9.054019419,-3.750297637,5.635665148,-2.334368937
